experiment,n_components,km_k,km_eta2,km_r2,hdb_n,hdb_eta2,hdb_r2,n_neighbors,seed,NMI_vs_42,eta2,min_cluster_size,n_clusters,r2,r2_std
umap_dims,10.0,4.0,0.3154999911785126,0.7123,10.0,0.4106000065803528,0.7187,,,,,,,,
umap_dims,15.0,4.0,0.3337000012397766,0.7076,9.0,0.41110000014305115,0.7209,,,,,,,,
umap_dims,20.0,4.0,0.3271999955177307,0.7126,10.0,0.399399995803833,0.7106,,,,,,,,
umap_dims,30.0,4.0,0.32820001244544983,0.7119,10.0,0.41449999809265137,0.7137,,,,,,,,
umap_dims,50.0,4.0,0.3352999985218048,0.7134,11.0,0.4101000130176544,0.7113,,,,,,,,
umap_neighbors,,5.0,0.2773999869823456,0.7121,21.0,0.4311999976634979,0.718,5.0,,,,,,,
umap_neighbors,,4.0,0.29739999771118164,0.7081,9.0,0.39570000767707825,0.7182,10.0,,,,,,,
umap_neighbors,,4.0,0.3271999955177307,0.7126,10.0,0.399399995803833,0.7106,15.0,,,,,,,
umap_neighbors,,4.0,0.2840000092983246,0.7148,2.0,0.13189999759197235,0.7083,30.0,,,,,,,
kmeans_seed,,,,,,,,,0.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,1.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,7.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,13.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,21.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,42.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,99.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,123.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,256.0,1.0,0.3271999955177307,,,,
kmeans_seed,,,,,,,,,999.0,1.0,0.3271999955177307,,,,
hdbscan_mcs,,,,,,,,,,,0.4415999948978424,5.0,21.0,0.715,0.0874
hdbscan_mcs,,,,,,,,,,,0.40380001068115234,10.0,12.0,0.7206,0.0857
hdbscan_mcs,,,,,,,,,,,0.399399995803833,14.0,10.0,0.7106,0.0897
hdbscan_mcs,,,,,,,,,,,0.12929999828338623,20.0,2.0,0.7132,0.0874
hdbscan_mcs,,,,,,,,,,,0.12929999828338623,30.0,2.0,0.7132,0.0874
