g,standalone_r2,combined_r2,benefit
2,0.7118466258049011,0.7936237096786499,0.012539553642272994
3,0.708005166053772,0.7809971332550049,-8.702278137207031e-05
4,0.703115952014923,0.7849803924560547,0.0038962364196777344
5,0.6966243863105774,0.7862824082374573,0.005198252201080389
6,0.7009113669395447,0.7810588598251342,-2.5296211242697986e-05
7,0.7037919163703918,0.7919437408447265,0.010859584808349587
8,0.7048712849617005,0.7902768135070801,0.009192657470703192
9,0.7123456835746765,0.7931635856628418,0.01207942962646491
10,0.708626663684845,0.7877425909042358,0.006658434867858887
11,0.701397180557251,0.7947857975959778,0.013701641559600852
12,0.7091742277145385,0.7939339637756347,0.012849807739257812
13,0.7077362537384033,0.7915780901908874,0.010493934154510498
14,0.7097842216491699,0.7757671236991882,-0.005317032337188721
15,0.7161321759223938,0.7896820187568665,0.008597862720489569
16,0.7047994375228882,0.7860018014907837,0.0049176454544067605
17,0.7031864047050476,0.7958431720733643,0.014759016036987371
18,0.6926966547966004,0.7904964923858643,0.009412336349487349
19,0.7071603536605835,0.7915009975433349,0.010416841506957986
20,0.7126692056655883,0.7972529768943787,0.016168820858001753
21,0.7225088596343994,0.8015368461608887,0.020452690124511785
22,0.7175553441047668,0.7990775346755982,0.017993378639221236
23,0.7169551014900207,0.7937132835388183,0.012629127502441384
24,0.722315001487732,0.7880696415901184,0.006985485553741455
25,0.7184280395507813,0.7936150193214416,0.012530863285064697
26,0.7109513998031616,0.7833277583122253,0.002243602275848411
27,0.7040537238121033,0.7951607942581177,0.014076638221740767
28,0.7117809057235718,0.7969658493995666,0.015881693363189675
29,0.7121431589126587,0.789952552318573,0.008868396282196045
30,0.7168581247329712,0.7892508268356323,0.008166670799255371
