k,standalone_r2,combined_r2,benefit
2,0.7118466258049011,0.7936237096786499,0.012539553642272994
3,0.7051599860191345,0.7808988571166993,-0.00018529891967766776
4,0.7126791954040528,0.784731411933899,0.003647255897522017
5,0.7057164192199707,0.785920524597168,0.00483636856079106
6,0.7112112641334534,0.7858336567878723,0.0047495007514953835
7,0.7056936860084534,0.7874435663223267,0.006359410285949774
8,0.7076060175895691,0.7818161129951477,0.0007319569587708186
9,0.7117764472961425,0.7797678470611572,-0.0013163089752197266
10,0.7023256897926331,0.7778666496276856,-0.0032175064086913396
11,0.7037380576133728,0.7862026572227478,0.005118501186370916
12,0.7090854048728943,0.7946317911148071,0.013547635078430154
13,0.7108032822608947,0.7935974717140197,0.0125133156776428
14,0.708620548248291,0.7873562693595886,0.006272113323211648
15,0.7137789249420166,0.7957314729690552,0.01464731693267829
16,0.7139073610305786,0.7887036919593811,0.007619535923004128
17,0.7207303166389465,0.7981195330619812,0.017035377025604315
18,0.7165540218353271,0.800992238521576,0.01990808248519904
19,0.7180648803710937,0.7939687490463256,0.012884593009948708
20,0.7203196167945862,0.7968655347824096,0.015781378746032693
